  Measurement Number     Measurement type
                  30            NewRelaib

      Measurement ID                 Mode
       739603.544545                   PG

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -5                  0.1                    0                  0.1

           Rise time            Fall Time           Separation
                 0.1                1e-06                  0.1

              Cycles       Steps in cycle         Test voltage
                   1                  100                    1

      Step        LRS        HRS
         1 98794704.6038          0

       MeasuredPoint                    1
 IntelStep    LRSBias    HRSBias
         1         -5          0




