  Measurement Number     Measurement type
                  42            NewRelaib

      Measurement ID                 Mode
       739603.547899                   PG

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -5                  0.1                    0                  0.1

           Rise time            Fall Time           Separation
               1e-06                1e-06                 0.01

              Cycles       Steps in cycle         Test voltage
                   1                  100                    1

      Step        LRS        HRS
         1 22222222.2222          0

       MeasuredPoint                    1
 IntelStep    LRSBias    HRSBias
         1         -7          0




