  Measurement Number     Measurement type
                  29            NewRelaib

      Measurement ID                 Mode
       739603.543974                   PG

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -5                  0.1                    0                  0.1

           Rise time            Fall Time           Separation
               1e-06                1e-06                  0.1

              Cycles       Steps in cycle         Test voltage
                   1                  100                    1

      Step        LRS        HRS
         1 99740674.247          0

       MeasuredPoint                    1
 IntelStep    LRSBias    HRSBias
         1         -5          0




